step,training_loss,validation_loss
0,6.061579704284668,6.065481662750244
100,3.3078198432922363,3.2876498699188232
200,1.7016931772232056,1.7324961423873901
300,1.434044599533081,1.4159256219863892
400,1.2791470289230347,1.2679671049118042
500,1.1937856674194336,1.2023687362670898
600,1.1213903427124023,1.1249072551727295
700,1.105837106704712,1.061193585395813
800,1.0498653650283813,1.0575252771377563
900,0.9851267337799072,0.9972307682037354
1000,0.9377745985984802,0.9509758353233337
1100,0.9657299518585205,0.9477242827415466
1200,0.8915591835975647,0.9533215165138245
1300,0.8879309296607971,0.8996023535728455
1400,0.8936346769332886,0.8991041779518127
1500,0.8953028917312622,0.8786360025405884
1600,0.8870636224746704,0.900002658367157
1700,0.8976617455482483,0.8727706670761108
1800,0.9003837704658508,0.8579888939857483
1900,0.8771233558654785,0.8653010129928589
2000,0.8578418493270874,0.8605962991714478
2100,0.8591617941856384,0.8526444435119629
2200,0.8525259494781494,0.861730694770813
2300,0.8453890681266785,0.8534377813339233
2400,0.8515834212303162,0.8193235993385315
2500,0.8489316701889038,0.8345023989677429
2600,0.8457273840904236,0.8373671174049377
2700,0.8349652886390686,0.8232166767120361
2800,0.831244170665741,0.8292766213417053
2900,0.8348631262779236,0.825240969657898
3000,0.8347454071044922,0.8296481966972351
