step,training_loss,validation_loss
0,6.228199005126953,6.226784706115723
100,3.6580848693847656,3.684147357940674
200,2.167839765548706,2.178433895111084
300,1.8034296035766602,1.693799376487732
400,1.6088083982467651,1.4199262857437134
500,1.4670438766479492,1.2330636978149414
600,1.450668215751648,1.182198166847229
700,1.315070390701294,1.1068564653396606
800,1.205459713935852,1.0326000452041626
900,1.1605700254440308,1.002083659172058
1000,1.1137109994888306,1.007485032081604
1100,1.0014286041259766,0.9411180019378662
1200,1.0085712671279907,0.9029040932655334
1300,1.015104055404663,0.8828871846199036
1400,0.9788660407066345,0.8887288570404053
1500,0.9603958129882812,0.8716098070144653
1600,0.9338167309761047,0.9018034934997559
1700,0.9221177101135254,0.8433428406715393
1800,0.9387702345848083,0.8742840886116028
1900,0.9205576181411743,0.8460144400596619
2000,0.9159965515136719,0.8196542859077454
2100,0.9227250814437866,0.8296788334846497
2200,0.9122946262359619,0.8102678060531616
2300,0.8988825678825378,0.80686354637146
2400,0.8988309502601624,0.8048326373100281
2500,0.901052713394165,0.7876150012016296
2600,0.8996456265449524,0.796950101852417
2700,0.8901813626289368,0.802937924861908
2800,0.8984049558639526,0.7954623103141785
2900,0.8896579146385193,0.7844193577766418
3000,0.885216474533081,0.7999067306518555
