step,training_loss,validation_loss
0,4.926252365112305,4.927547931671143
100,2.1043219566345215,2.0726616382598877
200,0.9875192642211914,1.0246788263320923
300,0.9285618662834167,0.9707168340682983
400,0.8359584212303162,0.8988948464393616
500,0.7488256692886353,0.7781371474266052
600,0.7330756783485413,0.7347193956375122
700,0.7048250436782837,0.7243126630783081
800,0.7110216021537781,0.7095645070075989
900,0.6820542216300964,0.7105312943458557
1000,0.6883264780044556,0.7045882940292358
1100,0.6834717988967896,0.7171260118484497
1200,0.684592068195343,0.7120895981788635
1300,0.6722623109817505,0.7208054065704346
1400,0.683637797832489,0.7067908644676208
1500,0.6821381449699402,0.7182430624961853
1600,0.6804015040397644,0.722694456577301
1700,0.6777715682983398,0.7145314812660217
1800,0.6730430722236633,0.7122519612312317
1900,0.6792369484901428,0.7041887640953064
2000,0.6767699122428894,0.7056755423545837
2100,0.673570454120636,0.7067136168479919
2200,0.6712550520896912,0.7076999545097351
2300,0.6761462688446045,0.7024199962615967
2400,0.6876370906829834,0.7117119431495667
2500,0.6778571009635925,0.7046370506286621
2600,0.6749042272567749,0.7064409852027893
2700,0.6724895238876343,0.7024065256118774
2800,0.6791982054710388,0.7050670385360718
2900,0.6792972683906555,0.7062932848930359
3000,0.6783124208450317,0.7061358690261841
